set,subset,partition,filename,attack_family_token,relative_path,sha256,size_bytes,header_raw,column_names,schema_exact_match,has_utf8_bom,row_count,blank_line_count,malformed_row_count,malformed_wrong_field_count,malformed_bad_timestamp,malformed_bad_arbitration_id,malformed_bad_data_field,malformed_bad_attack_label,attack0_count,attack1_count,attack_ratio,empty_data_field_count,empty_data_field_attack1_count,timestamp_min,timestamp_max,timestamp_span_s,timestamp_decrease_count,timestamp_equal_consecutive_count,timestamp_max_decrease_s,unique_arbitration_id_count,arbitration_id_hexlen_min,arbitration_id_hexlen_max,data_field_hexlen_min,data_field_hexlen_max,data_field_hexlen_min_nonempty,odd_hexlen_data_field_count,attack_episode_count,attack_contiguity,first_attack_row,last_attack_row,longest_attack_episode_rows,attack_row_density_within_span,first_attack_timestamp,last_attack_timestamp,attack_time_span_s,max_gap_between_attack_frames_s,attack_time_episode_count_gap_gt_1s,attack_time_contiguity_gap_gt_1s,quoted_row_count,file_ends_with_newline,error
set_01,test_01_known_vehicle_known_attack,test,DoS-3.csv,DoS,set_01/test_01_known_vehicle_known_attack/DoS-3.csv,f86c0df69c26de9a955e13711057f40d18e374c980ab10827102b86961262183,5992583,"timestamp,arbitration_id,data_field,attack",timestamp|arbitration_id|data_field|attack,True,False,154255,0,0,0,0,0,0,0,135032,19223,0.12461833,0,0,1672531200.0,1672531293.360044,93.360044,0,25,0.000000000,51,3,3,4,16,4,0,8340,multiple,29335,90285,11,0.315384,1672531220.2755761,1672531249.1189451,28.843369,7.277332,3,multiple_windows,0,True,
set_01,test_01_known_vehicle_known_attack,test,DoS-4.csv,DoS,set_01/test_01_known_vehicle_known_attack/DoS-4.csv,c26eb8dea1e57b0a0d6640dadf583dcddfb47b11a99c753b3fdc8b997eb0db81,35705429,"timestamp,arbitration_id,data_field,attack",timestamp|arbitration_id|data_field|attack,True,False,920350,0,0,0,0,0,0,0,884204,36146,0.03927419,0,0,1672531200.0,1672531811.288168,611.288168,0,53,0.000000000,51,3,3,4,16,4,0,15500,multiple,125716,213342,14,0.412498,1672531286.901432,1672531322.477416,35.575984,7.380664,2,multiple_windows,0,True,
set_01,test_01_known_vehicle_known_attack,test,force-neutral-3.csv,force-neutral,set_01/test_01_known_vehicle_known_attack/force-neutral-3.csv,b237c080dbf74d1f74c9508109b73e5a56bd5b056134e55cc45860f369b2c001,35169260,"timestamp,arbitration_id,data_field,attack",timestamp|arbitration_id|data_field|attack,True,False,904145,0,0,0,0,0,0,0,901913,2232,0.00246863,0,0,1672531200.0,1672531823.7024689,623.702469,50,2,0.000134230,51,3,3,4,16,4,0,1993,multiple,319000,331111,3,0.184280,1672531420.5438139,1672531427.376174,6.832360,0.004365,1,single_window,0,True,
set_01,test_01_known_vehicle_known_attack,test,force-neutral-4.csv,force-neutral,set_01/test_01_known_vehicle_known_attack/force-neutral-4.csv,5f6bacd0c1e901862102f750b66a918c0b6847ef9d7558fe374e8f6c49103329,32576569,"timestamp,arbitration_id,data_field,attack",timestamp|arbitration_id|data_field|attack,True,False,839873,0,0,0,0,0,0,0,839614,259,0.00030838,0,0,1672531200.0,1672531781.0633671,581.063367,9,1,0.006042719,51,3,3,4,16,4,0,259,multiple,351742,356589,1,0.053424,1672531443.390415,1672531446.57044,3.180025,0.013378,1,single_window,0,True,
set_01,test_01_known_vehicle_known_attack,test,rpm-3.csv,rpm,set_01/test_01_known_vehicle_known_attack/rpm-3.csv,21ca5c3341b51c027ce38e0ce9463664cf653be0fccd18ae28185703d74ce82b,31339311,"timestamp,arbitration_id,data_field,attack",timestamp|arbitration_id|data_field|attack,True,False,809398,0,0,0,0,0,0,0,805802,3596,0.00444281,0,0,1672531200.0,1672531757.1527889,557.152789,100,1,0.000146866,51,3,3,4,16,4,0,3161,multiple,280277,299581,3,0.186273,1672531393.748456,1672531404.6130581,10.864602,0.004405,1,single_window,0,True,
set_01,test_01_known_vehicle_known_attack,test,rpm-4.csv,rpm,set_01/test_01_known_vehicle_known_attack/rpm-4.csv,aef3d15f39c6fb1dc2df87cc96205ce9c03c0c3b3cf246d56520f0f6e907462e,31981845,"timestamp,arbitration_id,data_field,attack",timestamp|arbitration_id|data_field|attack,True,False,824211,0,0,0,0,0,0,0,823886,325,0.00039432,0,0,1672531200.0,1672531769.767513,569.767513,8,1,0.000114918,51,3,3,4,16,4,0,325,multiple,226336,232349,1,0.054041,1672531356.5270181,1672531360.463805,3.936787,0.013118,1,single_window,0,True,
set_01,test_01_known_vehicle_known_attack,test,standstill-3.csv,standstill,set_01/test_01_known_vehicle_known_attack/standstill-3.csv,0d4e08589fc3b2e516a8a24e053dad1ec3b870c0248fe2a104a8cb29b405fe74,24292224,"timestamp,arbitration_id,data_field,attack",timestamp|arbitration_id|data_field|attack,True,False,629156,0,0,0,0,0,0,0,627709,1447,0.00229991,0,0,1672531200.0,1672531634.6962411,434.696241,59,4,0.002909899,51,3,3,4,16,4,0,1447,multiple,301642,328960,1,0.052967,1672531409.0905931,1672531426.9770429,17.886450,0.013850,1,single_window,0,True,
set_01,test_01_known_vehicle_known_attack,test,standstill-4.csv,standstill,set_01/test_01_known_vehicle_known_attack/standstill-4.csv,ed30a557065db8547deedd566b2c4889e6f0d5fe783b0244939d949d2b73caab,23977213,"timestamp,arbitration_id,data_field,attack",timestamp|arbitration_id|data_field|attack,True,False,621282,0,0,0,0,0,0,0,621230,52,0.00008370,0,0,1672531200.0,1672531629.7679319,429.767932,0,1,0.000000000,51,3,3,4,16,4,0,52,multiple,201010,208600,1,0.006850,1672531339.0161519,1672531344.2314439,5.215292,0.103286,1,single_window,0,True,
set_01,test_02_unknown_vehicle_known_attack,test,DoS-3.csv,DoS,set_01/test_02_unknown_vehicle_known_attack/DoS-3.csv,543c7f0f3218657a09fe7bc9fb7c95591725ec3832998323b68d2a9c8e754204,42431037,"timestamp,arbitration_id,data_field,attack",timestamp|arbitration_id|data_field|attack,True,False,1100971,0,0,0,0,0,0,0,943319,157652,0.14319360,0,0,1672531200.0,1672531566.812345,366.812345,0,324,0.000000000,98,3,3,2,16,2,0,96234,multiple,146527,629842,8,0.326188,1672531256.9665091,1672531383.576138,126.609629,0.004746,1,single_window,0,True,
set_01,test_02_unknown_vehicle_known_attack,test,DoS-4.csv,DoS,set_01/test_02_unknown_vehicle_known_attack/DoS-4.csv,2f059858b0b25520befd23f00d5558ae2714eba72b540357465608ff6ebbde8c,26343887,"timestamp,arbitration_id,data_field,attack",timestamp|arbitration_id|data_field|attack,True,False,689028,0,0,0,0,0,0,0,683104,5924,0.00859762,0,0,1672531200.0,1672531465.599287,265.599287,0,12,0.000000000,98,3,3,2,16,2,0,3659,multiple,273200,291448,8,0.324621,1672531306.1731398,1672531310.96376,4.790620,0.001677,1,single_window,0,True,
